symbol,earnings_date,snapshot,snapshot_date,option_ticker,expiration,strike,type
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00505000,2026-03-20,505.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00510000,2026-03-20,510.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00510000,2026-03-20,510.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00515000,2026-03-20,515.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00515000,2026-03-20,515.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00520000,2026-03-20,520.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00520000,2026-03-20,520.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00525000,2026-03-20,525.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00525000,2026-03-20,525.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00530000,2026-03-20,530.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00530000,2026-03-20,530.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00535000,2026-03-20,535.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00535000,2026-03-20,535.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00540000,2026-03-20,540.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00540000,2026-03-20,540.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00545000,2026-03-20,545.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00545000,2026-03-20,545.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00550000,2026-03-20,550.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00550000,2026-03-20,550.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00555000,2026-03-20,555.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00555000,2026-03-20,555.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00560000,2026-03-20,560.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00560000,2026-03-20,560.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00565000,2026-03-20,565.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00565000,2026-03-20,565.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00570000,2026-03-20,570.0,call
