ticker,earn_date,type,strike,pre_date,post_date,price_pre,price_post,price_change,IV_pre,IV_post,IV_crush,RV30
AAPL,2024-05-02,call,175.0,2024-05-01,2024-05-03,9.2,37.7,28.500000000000004,2.5163052380352315,,,0.17891268057327325
AAPL,2024-05-02,put,175.0,2024-05-01,2024-05-03,22.5,11.6,-10.9,,3.181529785175435,,0.17891268057327325
AAPL,2024-08-01,call,210.0,2024-07-31,2024-08-02,21.2,43.8,22.599999999999998,4.844513504379313,,,0.19182507893491166
AAPL,2024-08-01,put,210.0,2024-07-31,2024-08-02,20.65,7.38,-13.27,4.724705641032196,1.6868997377602348,3.0378059032719618,0.19182507893491166
AAPL,2024-10-31,call,217.5,2024-10-30,2024-11-01,15.44,21.76,6.320000000000002,3.4010104322898522,4.800756544387769,-1.399746112097917,0.17204582097795756
AAPL,2024-10-31,put,217.5,2024-10-30,2024-11-01,1.5,14.27,12.77,0.3335660849375515,3.149018336078185,-2.8154522511406337,0.17204582097795756
AAPL,2025-01-30,call,225.0,2025-01-29,2025-01-31,41.59,13.39,-28.200000000000003,,2.849484412188802,,0.16924473559265663
AAPL,2025-01-30,put,225.0,2025-01-29,2025-01-31,10.65,0.46,-10.19,2.2715202051770644,0.10115957992184432,2.17036062525522,0.16924473559265663
AAPL,2025-05-01,call,200.0,2025-04-30,2025-05-02,16.25,14.25,-2.0,3.894705704387527,3.4135839011141442,0.48112180327338283,0.2242231767967013
AAPL,2025-05-01,put,200.0,2025-04-30,2025-05-02,1.04,11.45,10.41,0.252308532959057,2.747481359725176,-2.495172826766119,0.2242231767967013
AAPL,2025-07-31,call,202.5,2025-07-30,2025-08-01,9.7,4.96,-4.739999999999999,2.292195029472989,1.1699666380997225,1.1222283913732665,0.14974731376610195
AAPL,2025-07-31,put,202.5,2025-07-30,2025-08-01,2.61,8.22,5.610000000000001,0.6205809635949459,1.948196579231924,-1.327615615636978,0.14974731376610195
AAPL,2025-10-30,call,252.5,2025-10-29,2025-10-31,20.15,23.8,3.650000000000002,3.825001875105717,4.521458216555299,-0.6964563414495819,0.15993963768012714
AAPL,2025-10-30,put,252.5,2025-10-29,2025-10-31,1.03,2.67,1.64,0.1986265635743399,0.5097144673470992,-0.31108790377275936,0.15993963768012714
AAP,2022-08-23,call,195.0,2022-08-22,2022-08-24,11.1,19.6,8.500000000000002,2.7252070465594214,4.823292784080647,-2.0980857375212256,0.2782671087280997
AAP,2022-08-23,put,195.0,2022-08-22,2022-08-24,6.6,24.8,18.200000000000003,1.624739151836933,,,0.2782671087280997
AAP,2022-11-15,call,185.0,2022-11-14,2022-11-16,30.48,15.5,-14.98,,4.016706658526967,,0.16327667788301492
AAP,2022-11-15,put,185.0,2022-11-14,2022-11-16,8.5,10.65,2.1500000000000004,2.2049608191754024,2.762730010295219,-0.5577691911198164,0.16327667788301492
AAP,2023-02-28,call,140.0,2023-02-27,2023-03-01,6.95,24.01,17.060000000000002,2.375761242669679,,,0.16914083738961017
AAP,2023-02-28,put,140.0,2023-02-27,2023-03-01,17.3,7.29,-10.010000000000002,,2.498881721365723,,0.16914083738961017
AAP,2023-05-31,call,115.0,2023-05-30,2023-06-01,12.5,0.63,-11.87,,0.2590754588421733,,0.20655721515532044
AAP,2023-05-31,put,115.0,2023-05-30,2023-06-01,8.75,13.66,4.91,3.6528182798892614,,,0.20655721515532044
AAP,2023-08-23,call,70.0,2023-08-22,2023-08-24,12.51,3.2,-9.309999999999999,,2.187276723905309,,0.13139565662521482
