ticker,earn_date,pre_date,post_date,strike,IV_pre_call,IV_pre_put,IV_post_call,IV_post_put,IV_pre,IV_post,IV_crush,RV30
EOG,2023-08-03,2023-08-02,2023-08-04,129.0,3.8270706839477837,3.0880829249666197,1.7422364020006917,0.46735751909677054,3.4575768044572017,1.104796960548731,2.3527798439084706,0.2531101027924616
EOG,2023-11-02,2023-11-01,2023-11-03,127.0,1.456466879986587,1.2026699531519889,0.8490432544769402,0.4444953455596608,1.329568416569288,0.6467693000183005,0.6827991165509876,0.22715390550605175
EOG,2024-02-22,2024-02-21,2024-02-23,116.0,1.8966759630217709,1.0975202381296776,1.1611751271563455,1.8619075419356796,1.4970981005757242,1.5115413345460125,-0.014443233970288238,0.33170461862750716
EOG,2024-05-02,2024-05-01,2024-05-03,131.0,1.3131012724709512,1.5391737989669163,1.1667876669958017,0.34692997078008586,1.4261375357189339,0.7568588188879438,0.66927871683099,0.2349545330456183
EOG,2024-08-01,2024-07-31,2024-08-02,130.0,1.9869877484433323,,1.2495088984409133,1.864451274776147,1.9869877484433323,1.5569800866085302,0.4300076618348021,0.33350476439894516
EOG,2024-11-07,2024-11-06,2024-11-08,127.0,1.5432680478049141,1.0970323997425622,,0.0522382058435474,1.3201502237737381,0.0522382058435474,1.2679120179301908,0.22388875871771313
EOG,2025-02-27,2025-02-26,2025-02-28,131.0,0.7901031228438008,1.659924609933926,1.715569163863636,1.7953316310979917,1.2250138663888634,1.7554503974808138,-0.5304365310919503,0.3071432022029332
EOG,2025-05-01,2025-04-30,2025-05-02,112.0,0.48847798902842793,2.3780497112445995,1.8361484925217746,0.30259908153692205,1.4332638501365138,1.0693737870293483,0.36389006310716554,0.40960281087557265
EOG,2025-08-07,2025-08-06,2025-08-08,120.0,0.483631277342897,2.479455536397074,0.8947793611603506,1.1408897902246335,1.4815434068699855,1.017834575692492,0.4637088311774935,0.251270508420459
EOG,2025-11-06,2025-11-05,2025-11-07,107.0,0.8248250655958482,1.4179938478806793,0.3995514544824901,0.8806344979499809,1.1214094567382638,0.6400929762162355,0.48131648052202824,0.24708700928976624
COF,2022-01-25,2022-01-24,2022-01-26,145.0,2.6742658634722827,,2.0124296687946504,1.2156540997405498,2.6742658634722827,1.6140418842676,1.0602239792046826,0.2243376919540936
COF,2022-04-26,2022-04-25,2022-04-27,135.0,2.481769215222542,2.3106138370142215,1.7711426285969047,,2.3961915261183817,1.7711426285969047,0.625048897521477,0.2820924020102084
COF,2022-07-21,2022-07-20,2022-07-22,114.0,2.434993773069984,2.5257667030641286,2.30871809960064,0.024143784011257906,2.480380238067056,1.1664309418059489,1.3139492962611072,0.26365898115536945
COF,2022-10-27,2022-10-26,2022-10-28,102.0,2.7693849607796723,1.4591840142212984,2.6281731850271814,0.026628208688925053,2.1142844875004854,1.3274006968580532,0.7868837906424322,0.21785127064722254
COF,2023-01-24,2023-01-23,2023-01-25,104.0,2.2775578418668236,2.2149343222190807,4.288385888178555,1.9843342450188706,2.246246082042952,3.1363600665987126,-0.8901139845557604,0.3297704619055351
COF,2023-04-27,2023-04-26,2023-04-28,95.0,1.4590489552967354,2.525766703064128,,1.9702579278998857,1.992407829180432,1.9702579278998857,0.02214990128054617,0.2241044222632387
COF,2023-07-20,2023-07-19,2023-07-21,115.0,2.121729593573768,3.380972719522049,2.442973810211787,0.49470408705682717,2.7513511565479085,1.468838948634307,1.2825122079136015,0.2901782494930924
COF,2023-10-26,2023-10-25,2023-10-27,90.0,1.7800211721283334,3.573801976534981,2.552875032403224,0.02442548744122274,2.6769115743316574,1.2886502599222234,1.388261314409434,0.23267953815087045
COF,2024-01-25,2024-01-24,2024-01-26,129.0,1.7348035339543089,0.8943782987459307,3.491401157567991,0.3262684335083146,1.3145909163501197,1.9088347955381528,-0.5942438791880331,0.19263904768729764
COF,2024-04-25,2024-04-24,2024-04-26,146.0,1.932917864338114,0.8398195143998769,,4.078580159610034,1.3863686893689955,4.078580159610034,-2.6922114702410385,0.22121139686187485
COF,2024-07-23,2024-07-22,2024-07-24,145.0,3.867730667350654,2.118231991237784,1.499931566616515,3.244034012406946,2.992981329294219,2.3719827895117307,0.6209985397824882,0.2701184456006259
COF,2024-10-24,2024-10-23,2024-10-25,150.0,2.2617500544346214,0.673802755456843,3.6292153673038317,0.993163595640959,1.4677764049457322,2.3111894814723954,-0.8434130765266632,0.3263491711534353
COF,2025-04-22,2025-04-21,2025-04-23,162.5,3.029633732326235,2.968218892733776,,2.362560172499516,2.9989263125300054,2.362560172499516,0.6363661400304892,0.2850590946977687
COF,2025-07-22,2025-07-21,2025-07-23,212.5,1.8906455835725569,0.67042157058771,2.9294708082936207,2.5970981332502374,1.2805335770801334,2.763284470771929,-1.4827508936917957,0.22883538135989812
COF,2025-10-21,2025-10-20,2025-10-22,210.0,,4.39165794480733,,1.9357639869342564,4.39165794480733,1.9357639869342564,2.455893957873073,0.31870245758397064
FTNT,2022-02-03,2022-02-02,2022-02-04,300.0,3.6420446051471114,4.483498777691075,,,4.062771691419093,,,0.235623842855006
FTNT,2022-05-04,2022-05-03,2022-05-05,290.0,,,2.0273136048739144,,,2.0273136048739144,,0.2971141041809156
FTNT,2022-08-03,2022-08-02,2022-08-04,60.0,3.6099722771293568,3.921360049613818,4.1314791297590485,3.60052635198611,3.7656661633715873,3.8660027408725792,-0.1003365775009919,0.1886517894134655
FTNT,2022-11-02,2022-11-01,2022-11-03,56.0,,2.973893636127234,,4.288367298516283,2.973893636127234,4.288367298516283,-1.314473662389049,0.25965978910269744
FTNT,2023-02-07,2023-02-06,2023-02-08,55.0,,,,,,,,0.35730549714157056
FTNT,2023-05-04,2023-05-03,2023-05-05,65.0,3.094681180056943,3.9151876355127397,,4.211581784067595,3.5049344077848414,4.211581784067595,-0.7066473762827532,0.34801110456361806
FTNT,2023-08-03,2023-08-02,2023-08-04,75.0,2.4248907590422273,,0.09885573460504035,,2.4248907590422273,0.09885573460504035,2.326035024437187,0.2718197014995009
FTNT,2023-11-02,2023-11-01,2023-11-03,58.0,2.0041609474228053,2.614624902991557,0.8638061441658027,3.268896051726839,2.309392925207181,2.066351097946321,0.2430418272608601,0.20312039374337001
FTNT,2024-02-06,2024-02-05,2024-02-07,65.0,,,3.7604879164965173,2.2518376004341043,,3.006162758465311,,0.2873973831265346
FTNT,2024-05-02,2024-05-01,2024-05-03,65.0,2.5036470016294503,,0.31353881243939075,2.768719780479019,2.5036470016294503,1.541129296459205,0.9625177051702454,0.1869809380754457
FTNT,2024-08-06,2024-08-05,2024-08-07,57.0,2.325553369656565,3.7904615692160926,,0.3393610821511244,3.058007469436329,0.3393610821511244,2.7186463872852045,0.2338560595230815
FTNT,2024-11-07,2024-11-06,2024-11-08,79.0,3.213533959827001,1.9804818172887453,,3.9508171594393984,2.597007888557873,3.9508171594393984,-1.3538092708815253,0.20522740022857375
FTNT,2025-02-06,2025-02-05,2025-02-07,99.0,4.106906817731871,1.546898126066078,3.9074707916043065,,2.8269024718989746,3.9074707916043065,-1.080568319705332,0.13287481267093218
FTNT,2025-05-07,2025-05-06,2025-05-08,102.0,4.703901766343979,1.6612520259161818,2.792923881798682,2.1407721795290486,3.1825768961300804,2.4668480306638654,0.7157288654662151,0.15828980401397058
FTNT,2025-08-06,2025-08-05,2025-08-07,98.0,2.907271024404647,2.66884812002295,0.8324542308536227,,2.7880595722137986,0.8324542308536227,1.955605341360176,0.18592091955087092
FTNT,2025-11-05,2025-11-04,2025-11-06,85.0,2.7769173007489236,2.924748328546346,1.3830802524911412,1.6941510604519072,2.8508328146476347,1.5386156564715243,1.3122171581761104,0.15546363620915749
